October 2022 Contiguous U.S. County Average Temperature,a,a,a,a,a,a,a,a
AL-089,"Madison County, AL",58,16,-2.9,60.9,Madison County,AL,", "
AL-091,"Marengo County, AL",62.3,19,-2.7,65,Marengo County,AL,", "
AL-093,"Marion County, AL",59.4,30,-2.2,61.6,Marion County,AL,", "
AL-095,"Marshall County, AL",58.7,19,-2.7,61.4,Marshall County,AL,", "
AL-097,"Mobile County, AL",66.5,38,-1,67.5,Mobile County,AL,", "
AL-099,"Monroe County, AL",63.1,19,-2.7,65.8,Monroe County,AL,", "
AL-101,"Montgomery County, AL",62.1,16,-3.1,65.2,Montgomery County,AL,", "
AL-103,"Morgan County, AL",58.4,20,-2.8,61.2,Morgan County,AL,", "
AL-105,"Perry County, AL",61.8,19,-2.6,64.4,Perry County,AL,", "
AL-107,"Pickens County, AL",61.1,18,-2.8,63.9,Pickens County,AL,", "
AL-109,"Pike County, AL",62.6,17,-2.9,65.5,Pike County,AL,", "
AL-111,"Randolph County, AL",58.8,25,-2.4,61.2,Randolph County,AL,", "
AL-113,"Russell County, AL",62.1,16,-3.1,65.2,Russell County,AL,", "
AL-115,"St. Clair County, AL",59.3,21,-2.5,61.8,St. Clair County,AL,", "
AL-117,"Shelby County, AL",60.3,26,-2.4,62.7,Shelby County,AL,", "
AL-119,"Sumter County, AL",61.8,18,-2.8,64.6,Sumter County,AL,", "
AL-121,"Talladega County, AL",59.8,22,-2.5,62.3,Talladega County,AL,", "
AL-123,"Tallapoosa County, AL",59.8,16,-3.2,63,Tallapoosa County,AL,", "
AL-125,"Tuscaloosa County, AL",60.9,19,-3,63.9,Tuscaloosa County,AL,", "
AL-127,"Walker County, AL",59.5,20,-2.9,62.4,Walker County,AL,", "
AL-129,"Washington County, AL",63.9,25,-2,65.9,Washington County,AL,", "
AL-131,"Wilcox County, AL",62.6,19,-2.8,65.4,Wilcox County,AL,", "
AL-133,"Winston County, AL",58.3,19,-2.8,61.1,Winston County,AL,", "
AZ-001,"Apache County, AZ",51.6,75,0.3,51.3,Apache County,AZ,", "
AZ-003,"Cochise County, AZ",59.8,19,-2.1,61.9,Cochise County,AZ,", "
AZ-005,"Coconino County, AZ",54,82,0.9,53.1,Coconino County,AZ,", "
AZ-007,"Gila County, AZ",60.7,69,0.2,60.5,Gila County,AZ,", "
AZ-009,"Graham County, AZ",60.3,22,-1.7,62,Graham County,AZ,", "
AZ-011,"Greenlee County, AZ",55.7,24,-1.8,57.5,Greenlee County,AZ,", "
AZ-012,"La Paz County, AZ",73.9,98,2.2,71.7,La Paz County,AZ,", "
AZ-013,"Maricopa County, AZ",72.5,91,1.6,70.9,Maricopa County,AZ,", "
AZ-015,"Mohave County, AZ",65.1,96,2.1,63,Mohave County,AZ,", "
AZ-017,"Navajo County, AZ",53,75,0.4,52.6,Navajo County,AZ,", "
AZ-019,"Pima County, AZ",69,75,0.5,68.5,Pima County,AZ,", "
AZ-021,"Pinal County, AZ",70.6,84,1.1,69.5,Pinal County,AZ,", "
AZ-023,"Santa Cruz County, AZ",60.4,24,-1.6,62,Santa Cruz County,AZ,", "
AZ-025,"Yavapai County, AZ",60.7,77,0.8,59.9,Yavapai County,AZ,", "
AZ-027,"Yuma County, AZ",76,107,3.3,72.7,Yuma County,AZ,", "
AR-001,"Arkansas County, AR",63.6,71,0.3,63.3,Arkansas County,AR,", "
AR-003,"Ashley County, AR",63.8,57,-0.2,64,Ashley County,AR,", "
AR-005,"Baxter County, AR",58.9,67,0.1,58.8,Baxter County,AR,", "
AR-007,"Benton County, AR",58.3,48,-0.9,59.2,Benton County,AR,", "
AR-009,"Boone County, AR",58.5,64,-0.3,58.8,Boone County,AR,", "
AR-011,"Bradley County, AR",63.1,52,-0.5,63.6,Bradley County,AR,", "
AR-013,"Calhoun County, AR",62.6,46,-1,63.6,Calhoun County,AR,", "
AR-015,"Carroll County, AR",58.4,61,-0.5,58.9,Carroll County,AR,", "
AR-017,"Chicot County, AR",64.2,63,-0.1,64.3,Chicot County,AR,", "
AR-019,"Clark County, AR",63,61,-0.3,63.3,Clark County,AR,", "
AR-021,"Clay County, AR",59.3,50,-0.9,60.2,Clay County,AR,", "
AR-023,"Cleburne County, AR",60.9,73,0.4,60.5,Cleburne County,AR,", "
AR-025,"Cleveland County, AR",62.7,51,-0.6,63.3,Cleveland County,AR,", "
AR-027,"Columbia County, AR",63.5,50,-0.9,64.4,Columbia County,AR,", "
AR-029,"Conway County, AR",61.1,56,-0.4,61.5,Conway County,AR,", "
AR-031,"Craighead County, AR",60.2,50,-0.7,60.9,Craighead County,AR,", "
AR-033,"Crawford County, AR",60.8,55,-0.5,61.3,Crawford County,AR,", "
AR-035,"Crittenden County, AR",61.4,38,-1.3,62.7,Crittenden County,AR,", "
AR-037,"Cross County, AR",60.9,42,-1.2,62.1,Cross County,AR,", "
AR-039,"Dallas County, AR",62.6,55,-0.6,63.2,Dallas County,AR,", "
AR-041,"Desha County, AR",63.7,58,0,63.7,Desha County,AR,", "
AR-043,"Drew County, AR",63.6,60,0,63.6,Drew County,AR,", "
AR-045,"Faulkner County, AR",61.7,61,-0.1,61.8,Faulkner County,AR,", "
AR-047,"Franklin County, AR",60.9,60,-0.3,61.2,Franklin County,AR,", "
AR-049,"Fulton County, AR",58.7,72,0.5,58.2,Fulton County,AR,", "
AR-051,"Garland County, AR",63.1,84,0.9,62.2,Garland County,AR,", "
AR-053,"Grant County, AR",63,67,-0.1,63.1,Grant County,AR,", "
AR-055,"Greene County, AR",59.8,52,-0.6,60.4,Greene County,AR,", "
AR-057,"Hempstead County, AR",63.4,59,-0.4,63.8,Hempstead County,AR,", "
AR-059,"Hot Spring County, AR",63.2,74,0.3,62.9,Hot Spring County,AR,", "
AR-061,"Howard County, AR",62.2,56,-0.5,62.7,Howard County,AR,", "
AR-063,"Independence County, AR",59.7,53,-0.6,60.3,Independence County,AR,", "
AR-065,"Izard County, AR",58.8,60,-0.3,59.1,Izard County,AR,", "
AR-067,"Jackson County, AR",60,45,-1,61,Jackson County,AR,", "
AR-069,"Jefferson County, AR",63.2,66,-0.1,63.3,Jefferson County,AR,", "
AR-071,"Johnson County, AR",60.2,59,-0.3,60.5,Johnson County,AR,", "
AR-073,"Lafayette County, AR",64.4,62,-0.2,64.6,Lafayette County,AR,", "
AR-075,"Lawrence County, AR",59.5,52,-0.7,60.2,Lawrence County,AR,", "
AR-077,"Lee County, AR",62.2,54,-0.6,62.8,Lee County,AR,", "
AR-079,"Lincoln County, AR",63.4,61,0,63.4,Lincoln County,AR,", "
AR-081,"Little River County, AR",64.3,74,0.5,63.8,Little River County,AR,", "
AR-083,"Logan County, AR",61.7,64,-0.1,61.8,Logan County,AR,", "
AR-085,"Lonoke County, AR",63.3,77,0.5,62.8,Lonoke County,AR,", "
AR-087,"Madison County, AR",57.8,56,-0.8,58.6,Madison County,AR,", "
AR-089,"Marion County, AR",58.6,60,-0.3,58.9,Marion County,AR,", "
AR-091,"Miller County, AR",64.9,70,0.2,64.7,Miller County,AR,", "
AR-093,"Mississippi County, AR",60.7,51,-0.8,61.5,Mississippi County,AR,", "
AR-095,"Monroe County, AR",62.9,68,0.1,62.8,Monroe County,AR,", "
AR-097,"Montgomery County, AR",61.9,76,0.3,61.6,Montgomery County,AR,", "
AR-099,"Nevada County, AR",63.1,54,-0.8,63.9,Nevada County,AR,", "
AR-101,"Newton County, AR",57.6,51,-0.8,58.4,Newton County,AR,", "
AR-103,"Ouachita County, AR",62.9,45,-1.1,64,Ouachita County,AR,", "
AR-105,"Perry County, AR",62.2,68,0,62.2,Perry County,AR,", "
AR-107,"Phillips County, AR",63,59,-0.2,63.2,Phillips County,AR,", "
AR-109,"Pike County, AR",62,57,-0.5,62.5,Pike County,AR,", "
AR-111,"Poinsett County, AR",60.6,48,-0.9,61.5,Poinsett County,AR,", "
AR-113,"Polk County, AR",60.8,64,-0.1,60.9,Polk County,AR,", "
AR-115,"Pope County, AR",60.2,58,-0.4,60.6,Pope County,AR,", "
AR-117,"Prairie County, AR",63.1,72,0.3,62.8,Prairie County,AR,", "
AR-119,"Pulaski County, AR",63.1,77,0.4,62.7,Pulaski County,AR,", "
AR-121,"Randolph County, AR",59.4,61,-0.2,59.6,Randolph County,AR,", "
AR-123,"St. Francis County, AR",61.6,45,-1,62.6,St. Francis County,AR,", "
AR-125,"Saline County, AR",62.9,75,0.4,62.5,Saline County,AR,", "
AR-127,"Scott County, AR",61.4,69,0.1,61.3,Scott County,AR,", "
AR-129,"Searcy County, AR",57.6,45,-1.2,58.8,Searcy County,AR,", "
AR-131,"Sebastian County, AR",62.3,71,0.3,62,Sebastian County,AR,", "
AR-133,"Sevier County, AR",63.2,69,0.1,63.1,Sevier County,AR,", "
AR-135,"Sharp County, AR",58.6,56,-0.4,59,Sharp County,AR,", "
AR-137,"Stone County, AR",59.2,67,-0.1,59.3,Stone County,AR,", "
AR-139,"Union County, AR",63.2,47,-1,64.2,Union County,AR,", "
AR-141,"Van Buren County, AR",59.3,56,-0.4,59.7,Van Buren County,AR,", "
AR-143,"Washington County, AR",58.2,41,-1.2,59.4,Washington County,AR,", "
AR-145,"White County, AR",61.7,67,-0.2,61.9,White County,AR,", "
AR-147,"Woodruff County, AR",61.2,49,-0.9,62.1,Woodruff County,AR,", "
AR-149,"Yell County, AR",62.2,71,0.2,62,Yell County,AR,", "
CA-001,"Alameda County, CA",65,122,3.5,61.5,Alameda County,CA,", "
CA-003,"Alpine County, CA",50.2,121,4.7,45.5,Alpine County,CA,", "
CA-005,"Amador County, CA",65.5,126,5.6,59.9,Amador County,CA,", "
CA-007,"Butte County, CA",66.9,125,5.7,61.2,Butte County,CA,", "
CA-009,"Calaveras County, CA",65.8,126,5.4,60.4,Calaveras County,CA,", "
CA-011,"Colusa County, CA",68.4,125,5.7,62.7,Colusa County,CA,", "
CA-013,"Contra Costa County, CA",66.3,123,3.9,62.4,Contra Costa County,CA,", "
CA-015,"Del Norte County, CA",60,128,6.6,53.4,Del Norte County,CA,", "
CA-017,"El Dorado County, CA",61,122,5,56,El Dorado County,CA,", "
CA-019,"Fresno County, CA",62,123,5.4,56.6,Fresno County,CA,", "
CA-021,"Glenn County, CA",67.8,126,6.1,61.7,Glenn County,CA,", "
CA-023,"Humboldt County, CA",60.6,126,5.1,55.5,Humboldt County,CA,", "
CA-025,"Imperial County, CA",77.9,113,4.1,73.8,Imperial County,CA,", "
CA-027,"Inyo County, CA",65.5,117,4.5,61,Inyo County,CA,", "
CA-029,"Kern County, CA",68,125,5.7,62.3,Kern County,CA,", "
CA-031,"Kings County, CA",69.7,122,5.2,64.5,Kings County,CA,", "
CA-033,"Lake County, CA",64,125,5,59,Lake County,CA,", "
CA-035,"Lassen County, CA",53.3,124,5.4,47.9,Lassen County,CA,", "
CA-037,"Los Angeles County, CA",67.4,121,5,62.4,Los Angeles County,CA,", "
CA-039,"Madera County, CA",62,120,4.6,57.4,Madera County,CA,", "
CA-041,"Marin County, CA",59.7,94,1.1,58.6,Marin County,CA,", "
CA-043,"Mariposa County, CA",61.4,116,4.5,56.9,Mariposa County,CA,", "
CA-045,"Mendocino County, CA",60.9,120,3.2,57.7,Mendocino County,CA,", "
CA-047,"Merced County, CA",67.8,122,4.4,63.4,Merced County,CA,", "
CA-049,"Modoc County, CA",53.8,126,6.6,47.2,Modoc County,CA,", "
CA-051,"Mono County, CA",48.3,113,3.2,45.1,Mono County,CA,", "
CA-053,"Monterey County, CA",63.8,120,3.6,60.2,Monterey County,CA,", "
CA-055,"Napa County, CA",65.1,122,3.6,61.5,Napa County,CA,", "
CA-057,"Nevada County, CA",59.3,122,5,54.3,Nevada County,CA,", "
CA-059,"Orange County, CA",69.1,113,3.6,65.5,Orange County,CA,", "
CA-061,"Placer County, CA",60.6,123,4.9,55.7,Placer County,CA,", "
CA-063,"Plumas County, CA",53.8,121,4.7,49.1,Plumas County,CA,", "
CA-065,"Riverside County, CA",72.4,111,3.7,68.7,Riverside County,CA,", "
CA-067,"Sacramento County, CA",68,123,4.1,63.9,Sacramento County,CA,", "
CA-069,"San Benito County, CA",65.5,123,5.1,60.4,San Benito County,CA,", "
CA-071,"San Bernardino County, CA",70.5,114,4.1,66.4,San Bernardino County,CA,", "
CA-073,"San Diego County, CA",67,109,3.2,63.8,San Diego County,CA,", "
CA-075,"San Francisco County, CA",60.1,78,0.6,59.5,San Francisco County,CA,", "
CA-077,"San Joaquin County, CA",68,124,4.5,63.5,San Joaquin County,CA,", "
CA-079,"San Luis Obispo County, CA",65.2,124,4.7,60.5,San Luis Obispo County,CA,", "
CA-081,"San Mateo County, CA",60.4,99,1.5,58.9,San Mateo County,CA,", "
CA-083,"Santa Barbara County, CA",62.7,112,3.2,59.5,Santa Barbara County,CA,", "
CA-085,"Santa Clara County, CA",64.3,122,3.8,60.5,Santa Clara County,CA,", "
CA-087,"Santa Cruz County, CA",61.2,104,2,59.2,Santa Cruz County,CA,", "
CA-089,"Shasta County, CA",62.8,126,6.3,56.5,Shasta County,CA,", "
CA-091,"Sierra County, CA",53.8,122,4.8,49,Sierra County,CA,", "
CA-093,"Siskiyou County, CA",57.5,128,7.6,49.9,Siskiyou County,CA,", "
CA-095,"Solano County, CA",66.6,122,3.7,62.9,Solano County,CA,", "
CA-097,"Sonoma County, CA",62,110,2.4,59.6,Sonoma County,CA,", "
CA-099,"Stanislaus County, CA",67,122,3.9,63.1,Stanislaus County,CA,", "
CA-101,"Sutter County, CA",68.5,123,4.4,64.1,Sutter County,CA,", "
CA-103,"Tehama County, CA",66.3,125,5.9,60.4,Tehama County,CA,", "
CA-105,"Trinity County, CA",59.8,126,6.1,53.7,Trinity County,CA,", "
CA-107,"Tulare County, CA",60.7,123,5.5,55.2,Tulare County,CA,", "
CA-109,"Tuolumne County, CA",56.3,113,4.2,52.1,Tuolumne County,CA,", "
CA-111,"Ventura County, CA",62.8,118,4,58.8,Ventura County,CA,", "
CA-113,"Yolo County, CA",67.4,121,3.8,63.6,Yolo County,CA,", "
CA-115,"Yuba County, CA",67.4,125,5.2,62.2,Yuba County,CA,", "
CO-001,"Adams County, CO",52.1,100,2,50.1,Adams County,CO,", "
CO-003,"Alamosa County, CO",44.4,71,0.2,44.2,Alamosa County,CO,", "
CO-005,"Arapahoe County, CO",51.5,90,1.7,49.8,Arapahoe County,CO,", "
CO-007,"Archuleta County, CO",45.8,76,0.6,45.2,Archuleta County,CO,", "
CO-009,"Baca County, CO",56.2,98,1.6,54.6,Baca County,CO,", "
CO-011,"Bent County, CO",55.4,95,1.5,53.9,Bent County,CO,", "
CO-013,"Boulder County, CO",46.4,73,0.9,45.5,Boulder County,CO,", "
CO-014,"Broomfield County, CO",52.8,102,2,50.8,Broomfield County,CO,", "
CO-015,"Chaffee County, CO",39.8,54,-0.2,40,Chaffee County,CO,", "
CO-017,"Cheyenne County, CO",54.6,107,2.5,52.1,Cheyenne County,CO,", "
CO-019,"Clear Creek County, CO",39.1,69,0.6,38.5,Clear Creek County,CO,", "
CO-021,"Conejos County, CO",42,69,0.2,41.8,Conejos County,CO,", "
CO-023,"Costilla County, CO",42.7,50,-0.4,43.1,Costilla County,CO,", "
CO-025,"Crowley County, CO",53.7,99,1.6,52.1,Crowley County,CO,", "
CO-027,"Custer County, CO",42.7,55,0,42.7,Custer County,CO,", "
CO-029,"Delta County, CO",47.4,73,0.5,46.9,Delta County,CO,", "
CO-031,"Denver County, CO",53.1,103,2.2,50.9,Denver County,CO,", "
CO-033,"Dolores County, CO",44.5,74,0.6,43.9,Dolores County,CO,", "
CO-035,"Douglas County, CO",48.7,73,0.6,48.1,Douglas County,CO,", "
CO-037,"Eagle County, CO",41,64,0.1,40.9,Eagle County,CO,", "
CO-039,"Elbert County, CO",50.1,92,1.6,48.5,Elbert County,CO,", "
CO-041,"El Paso County, CO",49.9,86,1.2,48.7,El Paso County,CO,", "
CO-043,"Fremont County, CO",47.1,69,0.4,46.7,Fremont County,CO,", "
CO-045,"Garfield County, CO",44.8,79,0.8,44,Garfield County,CO,", "
CO-047,"Gilpin County, CO",41.3,68,0.6,40.7,Gilpin County,CO,", "
CO-049,"Grand County, CO",39.6,78,0.8,38.8,Grand County,CO,", "
CO-051,"Gunnison County, CO",40.5,70,0.3,40.2,Gunnison County,CO,", "
CO-053,"Hinsdale County, CO",38.1,84,1.2,36.9,Hinsdale County,CO,", "
CO-055,"Huerfano County, CO",47.3,49,-0.4,47.7,Huerfano County,CO,", "
CO-057,"Jackson County, CO",39.1,88,1.4,37.7,Jackson County,CO,", "
CO-059,"Jefferson County, CO",48.2,76,1,47.2,Jefferson County,CO,", "
CO-061,"Kiowa County, CO",54.9,99,1.8,53.1,Kiowa County,CO,", "
CO-063,"Kit Carson County, CO",54.6,110,2.9,51.7,Kit Carson County,CO,", "
CO-065,"Lake County, CO",36.5,61,0.1,36.4,Lake County,CO,", "
CO-067,"La Plata County, CO",46.4,77,0.7,45.7,La Plata County,CO,", "
CO-069,"Larimer County, CO",44.8,105,2.1,42.7,Larimer County,CO,", "
CO-071,"Las Animas County, CO",51.6,57,-0.1,51.7,Las Animas County,CO,", "
CO-073,"Lincoln County, CO",52.4,99,2,50.4,Lincoln County,CO,", "
CO-075,"Logan County, CO",51.7,89,1.4,50.3,Logan County,CO,", "
CO-077,"Mesa County, CO",48,77,0.6,47.4,Mesa County,CO,", "
CO-079,"Mineral County, CO",38.8,77,0.7,38.1,Mineral County,CO,", "
CO-081,"Moffat County, CO",46.2,106,2,44.2,Moffat County,CO,", "
CO-083,"Montezuma County, CO",49.3,61,0.2,49.1,Montezuma County,CO,", "
CO-085,"Montrose County, CO",48.2,80,0.8,47.4,Montrose County,CO,", "
CO-087,"Morgan County, CO",51.5,99,1.9,49.6,Morgan County,CO,", "
CO-089,"Otero County, CO",54.4,80,1,53.4,Otero County,CO,", "
CO-091,"Ouray County, CO",43.1,81,1.2,41.9,Ouray County,CO,", "
CO-093,"Park County, CO",40.3,63,0.2,40.1,Park County,CO,", "
CO-095,"Phillips County, CO",53.2,106,2.7,50.5,Phillips County,CO,", "
CO-097,"Pitkin County, CO",39.6,69,0.3,39.3,Pitkin County,CO,", "
CO-099,"Prowers County, CO",56,94,1.5,54.5,Prowers County,CO,", "
CO-101,"Pueblo County, CO",53.8,92,1.4,52.4,Pueblo County,CO,", "
CO-103,"Rio Blanco County, CO",45.9,87,1.3,44.6,Rio Blanco County,CO,", "
CO-105,"Rio Grande County, CO",41.8,74,0.5,41.3,Rio Grande County,CO,", "
CO-107,"Routt County, CO",42.1,89,1.4,40.7,Routt County,CO,", "
CO-109,"Saguache County, CO",40.8,49,-0.5,41.3,Saguache County,CO,", "
CO-111,"San Juan County, CO",36.9,88,1.5,35.4,San Juan County,CO,", "
CO-113,"San Miguel County, CO",45.9,82,0.8,45.1,San Miguel County,CO,", "
CO-115,"Sedgwick County, CO",53.1,107,2.5,50.6,Sedgwick County,CO,", "
CO-117,"Summit County, CO",37.4,61,0.2,37.2,Summit County,CO,", "
CO-119,"Teller County, CO",42.5,75,0.5,42,Teller County,CO,", "
CO-121,"Washington County, CO",52,92,1.6,50.4,Washington County,CO,", "
CO-123,"Weld County, CO",51,103,2.2,48.8,Weld County,CO,", "
CO-125,"Yuma County, CO",54.1,106,2.7,51.4,Yuma County,CO,", "
CT-001,"Fairfield County, CT",53.4,80,1.1,52.3,Fairfield County,CT,", "
CT-003,"Hartford County, CT",52.7,88,1.5,51.2,Hartford County,CT,", "
CT-005,"Litchfield County, CT",50.4,83,1.4,49,Litchfield County,CT,", "
CT-007,"Middlesex County, CT",53.2,85,1.3,51.9,Middlesex County,CT,", "
CT-009,"New Haven County, CT",52.6,74,0.6,52,New Haven County,CT,", "
CT-011,"New London County, CT",53.9,96,2.2,51.7,New London County,CT,", "
CT-013,"Tolland County, CT",51.9,91,1.6,50.3,Tolland County,CT,", "
CT-015,"Windham County, CT",52.4,96,2,50.4,Windham County,CT,", "
DE-001,"Kent County, DE",55.5,45,-0.6,56.1,Kent County,DE,", "
DE-003,"New Castle County, DE",54.9,47,-0.6,55.5,New Castle County,DE,", "
DE-005,"Sussex County, DE",57.1,57,0.1,57,Sussex County,DE,", "
FL-001,"Alachua County, FL",69,33,-1.5,70.5,Alachua County,FL,", "
FL-003,"Baker County, FL",67.8,43,-1,68.8,Baker County,FL,", "
FL-005,"Bay County, FL",67,27,-1.9,68.9,Bay County,FL,", "
FL-007,"Bradford County, FL",68.6,37,-1.3,69.9,Bradford County,FL,", "
FL-009,"Brevard County, FL",74.4,48,-0.3,74.7,Brevard County,FL,", "
FL-011,"Broward County, FL",77.5,76,0.7,76.8,Broward County,FL,", "
FL-013,"Calhoun County, FL",65.8,20,-2.2,68,Calhoun County,FL,", "
FL-015,"Charlotte County, FL",75,48,-0.4,75.4,Charlotte County,FL,", "
FL-017,"Citrus County, FL",72.1,60,0,72.1,Citrus County,FL,", "
FL-019,"Clay County, FL",69.5,44,-0.9,70.4,Clay County,FL,", "
FL-021,"Collier County, FL",77.3,71,0.4,76.9,Collier County,FL,", "
FL-023,"Columbia County, FL",67.9,41,-1.1,69,Columbia County,FL,", "
FL-027,"DeSoto County, FL",74,50,-0.6,74.6,DeSoto County,FL,", "
FL-029,"Dixie County, FL",68.5,29,-1.6,70.1,Dixie County,FL,", "
FL-031,"Duval County, FL",69.2,44,-0.9,70.1,Duval County,FL,", "
FL-033,"Escambia County, FL",66.7,28,-1.5,68.2,Escambia County,FL,", "
FL-035,"Flagler County, FL",71.6,52,-0.3,71.9,Flagler County,FL,", "
FL-037,"Franklin County, FL",67.2,18,-2.3,69.5,Franklin County,FL,", "
FL-039,"Gadsden County, FL",65.9,23,-2.1,68,Gadsden County,FL,", "
FL-041,"Gilchrist County, FL",68.4,34,-1.5,69.9,Gilchrist County,FL,", "
FL-043,"Glades County, FL",74.4,43,-0.9,75.3,Glades County,FL,", "
FL-045,"Gulf County, FL",66.6,20,-2.2,68.8,Gulf County,FL,", "
FL-047,"Hamilton County, FL",67.1,38,-1.1,68.2,Hamilton County,FL,", "
FL-049,"Hardee County, FL",74.3,63,0.3,74,Hardee County,FL,", "
FL-051,"Hendry County, FL",75.6,48,-0.4,76,Hendry County,FL,", "
FL-053,"Hernando County, FL",73.1,72,0.6,72.5,Hernando County,FL,", "
FL-055,"Highlands County, FL",74.1,52,-0.4,74.5,Highlands County,FL,", "
FL-057,"Hillsborough County, FL",74.4,73,0.6,73.8,Hillsborough County,FL,", "
FL-059,"Holmes County, FL",64.7,17,-2.6,67.3,Holmes County,FL,", "
FL-061,"Indian River County, FL",74.6,55,0,74.6,Indian River County,FL,", "
FL-063,"Jackson County, FL",65.4,17,-2.5,67.9,Jackson County,FL,", "
FL-065,"Jefferson County, FL",66.8,31,-1.7,68.5,Jefferson County,FL,", "
FL-067,"Lafayette County, FL",67.9,37,-1.3,69.2,Lafayette County,FL,", "
FL-069,"Lake County, FL",72.5,56,-0.1,72.6,Lake County,FL,", "
FL-071,"Lee County, FL",76.2,56,0,76.2,Lee County,FL,", "
FL-073,"Leon County, FL",66.4,25,-1.9,68.3,Leon County,FL,", "
FL-075,"Levy County, FL",69.9,42,-1,70.9,Levy County,FL,", "
FL-077,"Liberty County, FL",66,20,-2.3,68.3,Liberty County,FL,", "
FL-079,"Madison County, FL",67,36,-1.2,68.2,Madison County,FL,", "
FL-081,"Manatee County, FL",74.1,51,-0.2,74.3,Manatee County,FL,", "
FL-083,"Marion County, FL",70.8,48,-0.6,71.4,Marion County,FL,", "
FL-085,"Martin County, FL",75.7,53,-0.1,75.8,Martin County,FL,", "
FL-086,"Miami-Dade County, FL",78.4,88,1.2,77.2,Miami-Dade County,FL,", "
FL-087,"Monroe County, FL",78.8,83,1,77.8,Monroe County,FL,", "
FL-089,"Nassau County, FL",68,42,-1.1,69.1,Nassau County,FL,", "
FL-091,"Okaloosa County, FL",66.3,32,-1.5,67.8,Okaloosa County,FL,", "
