a,a,a,a,a,a,a,a,a,a,a,a,a
a,"La Paz County, Arizona",0.8936,Arizona,AZ,La Paz County,4,12,pctunmetneed,2014,0.8936,", ",89.36
a,"Maricopa County, Arizona",0.9068,Arizona,AZ,Maricopa County,4,13,pctunmetneed,2014,0.9068,", ",90.68
a,"Mohave County, Arizona",0.8835,Arizona,AZ,Mohave County,4,15,pctunmetneed,2014,0.8835,", ",88.35
a,"Navajo County, Arizona",0.8835,Arizona,AZ,Navajo County,4,17,pctunmetneed,2014,0.8835,", ",88.35
a,"Pima County, Arizona",0.8715,Arizona,AZ,Pima County,4,19,pctunmetneed,2014,0.8715,", ",87.15
a,"Pinal County, Arizona",0.8936,Arizona,AZ,Pinal County,4,21,pctunmetneed,2014,0.8936,", ",89.36
a,"Santa Cruz County, Arizona",0.8936,Arizona,AZ,Santa Cruz County,4,23,pctunmetneed,2014,0.8936,", ",89.36
a,"Yavapai County, Arizona",0.8835,Arizona,AZ,Yavapai County,4,25,pctunmetneed,2014,0.8835,", ",88.35
a,"Yuma County, Arizona",0.8936,Arizona,AZ,Yuma County,4,27,pctunmetneed,2014,0.8936,", ",89.36
a,"Arkansas County, Arkansas",0.8297,Arkansas,AR,Arkansas County,5,1,pctunmetneed,2014,0.8297,", ",82.97
a,"Ashley County, Arkansas",0.8297,Arkansas,AR,Ashley County,5,3,pctunmetneed,2014,0.8297,", ",82.97
a,"Baxter County, Arkansas",0.8848,Arkansas,AR,Baxter County,5,5,pctunmetneed,2014,0.8848,", ",88.48
a,"Benton County, Arkansas",0.8462,Arkansas,AR,Benton County,5,7,pctunmetneed,2014,0.8462,", ",84.62
a,"Boone County, Arkansas",0.8848,Arkansas,AR,Boone County,5,9,pctunmetneed,2014,0.8848,", ",88.48
a,"Bradley County, Arkansas",0.8297,Arkansas,AR,Bradley County,5,11,pctunmetneed,2014,0.8297,", ",82.97
a,"Calhoun County, Arkansas",0.8982,Arkansas,AR,Calhoun County,5,13,pctunmetneed,2014,0.8982,", ",89.82
a,"Carroll County, Arkansas",0.8462,Arkansas,AR,Carroll County,5,15,pctunmetneed,2014,0.8462,", ",84.62
a,"Chicot County, Arkansas",0.8297,Arkansas,AR,Chicot County,5,17,pctunmetneed,2014,0.8297,", ",82.97
a,"Clark County, Arkansas",0.8648,Arkansas,AR,Clark County,5,19,pctunmetneed,2014,0.8648,", ",86.48
a,"Clay County, Arkansas",0.9299,Arkansas,AR,Clay County,5,21,pctunmetneed,2014,0.9299,", ",92.99
a,"Cleburne County, Arkansas",0.8848,Arkansas,AR,Cleburne County,5,23,pctunmetneed,2014,0.8848,", ",88.48
a,"Cleveland County, Arkansas",0.8297,Arkansas,AR,Cleveland County,5,25,pctunmetneed,2014,0.8297,", ",82.97
a,"Columbia County, Arkansas",0.8982,Arkansas,AR,Columbia County,5,27,pctunmetneed,2014,0.8982,", ",89.82
a,"Conway County, Arkansas",0.8648,Arkansas,AR,Conway County,5,29,pctunmetneed,2014,0.8648,", ",86.48
a,"Craighead County, Arkansas",0.9299,Arkansas,AR,Craighead County,5,31,pctunmetneed,2014,0.9299,", ",92.99
a,"Crawford County, Arkansas",0.8686,Arkansas,AR,Crawford County,5,33,pctunmetneed,2014,0.8686,", ",86.86
a,"Crittenden County, Arkansas",0.9299,Arkansas,AR,Crittenden County,5,35,pctunmetneed,2014,0.9299,", ",92.99
a,"Cross County, Arkansas",0.9299,Arkansas,AR,Cross County,5,37,pctunmetneed,2014,0.9299,", ",92.99
a,"Dallas County, Arkansas",0.8982,Arkansas,AR,Dallas County,5,39,pctunmetneed,2014,0.8982,", ",89.82
a,"Desha County, Arkansas",0.8297,Arkansas,AR,Desha County,5,41,pctunmetneed,2014,0.8297,", ",82.97
a,"Drew County, Arkansas",0.8297,Arkansas,AR,Drew County,5,43,pctunmetneed,2014,0.8297,", ",82.97
a,"Faulkner County, Arkansas",0.8648,Arkansas,AR,Faulkner County,5,45,pctunmetneed,2014,0.8648,", ",86.48
a,"Franklin County, Arkansas",0.8686,Arkansas,AR,Franklin County,5,47,pctunmetneed,2014,0.8686,", ",86.86
a,"Fulton County, Arkansas",0.8848,Arkansas,AR,Fulton County,5,49,pctunmetneed,2014,0.8848,", ",88.48
a,"Garland County, Arkansas",0.8648,Arkansas,AR,Garland County,5,51,pctunmetneed,2014,0.8648,", ",86.48
a,"Grant County, Arkansas",0.8297,Arkansas,AR,Grant County,5,53,pctunmetneed,2014,0.8297,", ",82.97
a,"Greene County, Arkansas",0.9299,Arkansas,AR,Greene County,5,55,pctunmetneed,2014,0.9299,", ",92.99
a,"Hempstead County, Arkansas",0.8982,Arkansas,AR,Hempstead County,5,57,pctunmetneed,2014,0.8982,", ",89.82
a,"Hot Spring County, Arkansas",0.8648,Arkansas,AR,Hot Spring County,5,59,pctunmetneed,2014,0.8648,", ",86.48
a,"Howard County, Arkansas",0.8982,Arkansas,AR,Howard County,5,61,pctunmetneed,2014,0.8982,", ",89.82
a,"Independence County, Arkansas",0.8848,Arkansas,AR,Independence County,5,63,pctunmetneed,2014,0.8848,", ",88.48
a,"Izard County, Arkansas",0.8848,Arkansas,AR,Izard County,5,65,pctunmetneed,2014,0.8848,", ",88.48
a,"Jackson County, Arkansas",0.8848,Arkansas,AR,Jackson County,5,67,pctunmetneed,2014,0.8848,", ",88.48
a,"Jefferson County, Arkansas",0.8297,Arkansas,AR,Jefferson County,5,69,pctunmetneed,2014,0.8297,", ",82.97
a,"Johnson County, Arkansas",0.8648,Arkansas,AR,Johnson County,5,71,pctunmetneed,2014,0.8648,", ",86.48
a,"Lafayette County, Arkansas",0.8982,Arkansas,AR,Lafayette County,5,73,pctunmetneed,2014,0.8982,", ",89.82
a,"Lawrence County, Arkansas",0.9299,Arkansas,AR,Lawrence County,5,75,pctunmetneed,2014,0.9299,", ",92.99
a,"Lee County, Arkansas",0.9299,Arkansas,AR,Lee County,5,77,pctunmetneed,2014,0.9299,", ",92.99
a,"Lincoln County, Arkansas",0.8297,Arkansas,AR,Lincoln County,5,79,pctunmetneed,2014,0.8297,", ",82.97
a,"Little River County, Arkansas",0.8982,Arkansas,AR,Little River County,5,81,pctunmetneed,2014,0.8982,", ",89.82
a,"Logan County, Arkansas",0.8686,Arkansas,AR,Logan County,5,83,pctunmetneed,2014,0.8686,", ",86.86
a,"Lonoke County, Arkansas",0.8853,Arkansas,AR,Lonoke County,5,85,pctunmetneed,2014,0.8853,", ",88.53
a,"Madison County, Arkansas",0.8462,Arkansas,AR,Madison County,5,87,pctunmetneed,2014,0.8462,", ",84.62
a,"Marion County, Arkansas",0.8848,Arkansas,AR,Marion County,5,89,pctunmetneed,2014,0.8848,", ",88.48
a,"Miller County, Arkansas",0.8982,Arkansas,AR,Miller County,5,91,pctunmetneed,2014,0.8982,", ",89.82
a,"Mississippi County, Arkansas",0.9299,Arkansas,AR,Mississippi County,5,93,pctunmetneed,2014,0.9299,", ",92.99
a,"Monroe County, Arkansas",0.9299,Arkansas,AR,Monroe County,5,95,pctunmetneed,2014,0.9299,", ",92.99
a,"Montgomery County, Arkansas",0.8648,Arkansas,AR,Montgomery County,5,97,pctunmetneed,2014,0.8648,", ",86.48
a,"Nevada County, Arkansas",0.8982,Arkansas,AR,Nevada County,5,99,pctunmetneed,2014,0.8982,", ",89.82
a,"Newton County, Arkansas",0.8848,Arkansas,AR,Newton County,5,101,pctunmetneed,2014,0.8848,", ",88.48
a,"Ouachita County, Arkansas",0.8982,Arkansas,AR,Ouachita County,5,103,pctunmetneed,2014,0.8982,", ",89.82
a,"Perry County, Arkansas",0.8648,Arkansas,AR,Perry County,5,105,pctunmetneed,2014,0.8648,", ",86.48
a,"Phillips County, Arkansas",0.9299,Arkansas,AR,Phillips County,5,107,pctunmetneed,2014,0.9299,", ",92.99
a,"Pike County, Arkansas",0.8648,Arkansas,AR,Pike County,5,109,pctunmetneed,2014,0.8648,", ",86.48
a,"Poinsett County, Arkansas",0.9299,Arkansas,AR,Poinsett County,5,111,pctunmetneed,2014,0.9299,", ",92.99
a,"Polk County, Arkansas",0.8686,Arkansas,AR,Polk County,5,113,pctunmetneed,2014,0.8686,", ",86.86
a,"Pope County, Arkansas",0.8648,Arkansas,AR,Pope County,5,115,pctunmetneed,2014,0.8648,", ",86.48
a,"Prairie County, Arkansas",0.8853,Arkansas,AR,Prairie County,5,117,pctunmetneed,2014,0.8853,", ",88.53
a,"Pulaski County, Arkansas",0.8853,Arkansas,AR,Pulaski County,5,119,pctunmetneed,2014,0.8853,", ",88.53
a,"Randolph County, Arkansas",0.9299,Arkansas,AR,Randolph County,5,121,pctunmetneed,2014,0.9299,", ",92.99
a,"St. Francis County, Arkansas",0.9299,Arkansas,AR,St. Francis County,5,123,pctunmetneed,2014,0.9299,", ",92.99
a,"Saline County, Arkansas",0.8853,Arkansas,AR,Saline County,5,125,pctunmetneed,2014,0.8853,", ",88.53
a,"Scott County, Arkansas",0.8686,Arkansas,AR,Scott County,5,127,pctunmetneed,2014,0.8686,", ",86.86
a,"Searcy County, Arkansas",0.8848,Arkansas,AR,Searcy County,5,129,pctunmetneed,2014,0.8848,", ",88.48
a,"Sebastian County, Arkansas",0.8686,Arkansas,AR,Sebastian County,5,131,pctunmetneed,2014,0.8686,", ",86.86
a,"Sevier County, Arkansas",0.8982,Arkansas,AR,Sevier County,5,133,pctunmetneed,2014,0.8982,", ",89.82
a,"Sharp County, Arkansas",0.8848,Arkansas,AR,Sharp County,5,135,pctunmetneed,2014,0.8848,", ",88.48
a,"Stone County, Arkansas",0.8848,Arkansas,AR,Stone County,5,137,pctunmetneed,2014,0.8848,", ",88.48
a,"Union County, Arkansas",0.8982,Arkansas,AR,Union County,5,139,pctunmetneed,2014,0.8982,", ",89.82
a,"Van Buren County, Arkansas",0.8848,Arkansas,AR,Van Buren County,5,141,pctunmetneed,2014,0.8848,", ",88.48
a,"Washington County, Arkansas",0.8462,Arkansas,AR,Washington County,5,143,pctunmetneed,2014,0.8462,", ",84.62
a,"White County, Arkansas",0.8848,Arkansas,AR,White County,5,145,pctunmetneed,2014,0.8848,", ",88.48
a,"Woodruff County, Arkansas",0.8848,Arkansas,AR,Woodruff County,5,147,pctunmetneed,2014,0.8848,", ",88.48
a,"Yell County, Arkansas",0.8648,Arkansas,AR,Yell County,5,149,pctunmetneed,2014,0.8648,", ",86.48
a,"Alameda County, California",0.9132,California,CA,Alameda County,6,1,pctunmetneed,2014,0.9132,", ",91.32
a,"Alpine County, California",0.8754,California,CA,Alpine County,6,3,pctunmetneed,2014,0.8754,", ",87.54
a,"Amador County, California",0.8754,California,CA,Amador County,6,5,pctunmetneed,2014,0.8754,", ",87.54
a,"Butte County, California",0.8725,California,CA,Butte County,6,7,pctunmetneed,2014,0.8725,", ",87.25
a,"Calaveras County, California",0.8754,California,CA,Calaveras County,6,9,pctunmetneed,2014,0.8754,", ",87.54
a,"Colusa County, California",0.8725,California,CA,Colusa County,6,11,pctunmetneed,2014,0.8725,", ",87.25
a,"Contra Costa County, California",0.8913,California,CA,Contra Costa County,6,13,pctunmetneed,2014,0.8913,", ",89.13
a,"Del Norte County, California",0.8725,California,CA,Del Norte County,6,15,pctunmetneed,2014,0.8725,", ",87.25
a,"El Dorado County, California",0.8767,California,CA,El Dorado County,6,17,pctunmetneed,2014,0.8767,", ",87.67
a,"Fresno County, California",0.8738,California,CA,Fresno County,6,19,pctunmetneed,2014,0.8738,", ",87.38
a,"Glenn County, California",0.8725,California,CA,Glenn County,6,21,pctunmetneed,2014,0.8725,", ",87.25
a,"Humboldt County, California",0.8725,California,CA,Humboldt County,6,23,pctunmetneed,2014,0.8725,", ",87.25
a,"Imperial County, California",0.9129,California,CA,Imperial County,6,25,pctunmetneed,2014,0.9129,", ",91.29
a,"Inyo County, California",0.8797,California,CA,Inyo County,6,27,pctunmetneed,2014,0.8797,", ",87.97
a,"Kern County, California",0.8797,California,CA,Kern County,6,29,pctunmetneed,2014,0.8797,", ",87.97
a,"Kings County, California",0.8797,California,CA,Kings County,6,31,pctunmetneed,2014,0.8797,", ",87.97
a,"Lake County, California",0.8725,California,CA,Lake County,6,33,pctunmetneed,2014,0.8725,", ",87.25
a,"Lassen County, California",0.8725,California,CA,Lassen County,6,35,pctunmetneed,2014,0.8725,", ",87.25
a,"Los Angeles County, California",0.9209,California,CA,Los Angeles County,6,37,pctunmetneed,2014,0.9209,", ",92.09
a,"Madera County, California",0.9022,California,CA,Madera County,6,39,pctunmetneed,2014,0.9022,", ",90.22
a,"Marin County, California",0.8274,California,CA,Marin County,6,41,pctunmetneed,2014,0.8274,", ",82.74
a,"Mariposa County, California",0.9022,California,CA,Mariposa County,6,43,pctunmetneed,2014,0.9022,", ",90.22
a,"Mendocino County, California",0.8725,California,CA,Mendocino County,6,45,pctunmetneed,2014,0.8725,", ",87.25
a,"Merced County, California",0.9022,California,CA,Merced County,6,47,pctunmetneed,2014,0.9022,", ",90.22
a,"Modoc County, California",0.8725,California,CA,Modoc County,6,49,pctunmetneed,2014,0.8725,", ",87.25
a,"Mono County, California",0.8754,California,CA,Mono County,6,51,pctunmetneed,2014,0.8754,", ",87.54
a,"Monterey County, California",0.8979,California,CA,Monterey County,6,53,pctunmetneed,2014,0.8979,", ",89.79
a,"Napa County, California",0.8274,California,CA,Napa County,6,55,pctunmetneed,2014,0.8274,", ",82.74
a,"Nevada County, California",0.8767,California,CA,Nevada County,6,57,pctunmetneed,2014,0.8767,", ",87.67
a,"Orange County, California",0.9,California,CA,Orange County,6,59,pctunmetneed,2014,0.9,", ",90
a,"Placer County, California",0.8767,California,CA,Placer County,6,61,pctunmetneed,2014,0.8767,", ",87.67
a,"Plumas County, California",0.8725,California,CA,Plumas County,6,63,pctunmetneed,2014,0.8725,", ",87.25
a,"Riverside County, California",0.9129,California,CA,Riverside County,6,65,pctunmetneed,2014,0.9129,", ",91.29
a,"Sacramento County, California",0.8576,California,CA,Sacramento County,6,67,pctunmetneed,2014,0.8576,", ",85.76
a,"San Benito County, California",0.8979,California,CA,San Benito County,6,69,pctunmetneed,2014,0.8979,", ",89.79
a,"San Bernardino County, California",0.8791,California,CA,San Bernardino County,6,71,pctunmetneed,2014,0.8791,", ",87.91
a,"San Diego County, California",0.9033,California,CA,San Diego County,6,73,pctunmetneed,2014,0.9033,", ",90.33
a,"San Francisco County, California",1,California,CA,San Francisco County,6,75,pctunmetneed,2014,1,", ",100
a,"San Joaquin County, California",0.8754,California,CA,San Joaquin County,6,77,pctunmetneed,2014,0.8754,", ",87.54
a,"San Luis Obispo County, California",0.8979,California,CA,San Luis Obispo County,6,79,pctunmetneed,2014,0.8979,", ",89.79
a,"San Mateo County, California",0.9316,California,CA,San Mateo County,6,81,pctunmetneed,2014,0.9316,", ",93.16
