county,state,averageOctoberTemperature,averageOctoberTemperatureBucket,year
Elbert,CO,50.1,113,2021
El Paso,CO,49.9,107,2021
Fremont,CO,47.1,43,2021
Garfield,CO,44.8,17,2021
Gilpin,CO,41.3,6,2021
Grand,CO,39.6,5,2021
Gunnison,CO,40.5,5,2021
Hinsdale,CO,38.1,3,2021
Huerfano,CO,47.3,45,2021
Jackson,CO,39.1,4,2021
Jefferson,CO,48.2,64,2021
Kiowa,CO,54.9,258,2021
Kit Carson,CO,54.6,248,2021
Lake,CO,36.5,2,2021
La Plata,CO,46.4,33,2021
Larimer,CO,44.8,17,2021
Las Animas,CO,51.6,156,2021
Lincoln,CO,52.4,183,2021
Logan,CO,51.7,160,2021
Mesa,CO,48,59,2021
Mineral,CO,38.8,4,2021
Moffat,CO,46.2,31,2021
Montezuma,CO,49.3,94,2021
Montrose,CO,48.2,64,2021
Morgan,CO,51.5,154,2021
Otero,CO,54.4,242,2021
Ouray,CO,43.1,9,2021
Park,CO,40.3,5,2021
Phillips,CO,53.2,206,2021
Pitkin,CO,39.6,5,2021
Prowers,CO,56,287,2021
Pueblo,CO,53.8,224,2021
Rio Blanco,CO,45.9,26,2021
Rio Grande,CO,41.8,7,2021
Routt,CO,42.1,7,2021
Saguache,CO,40.8,5,2021
San Juan,CO,36.9,3,2021
San Miguel,CO,45.9,26,2021
Sedgwick,CO,53.1,204,2021
Summit,CO,37.4,3,2021
Teller,CO,42.5,8,2021
Washington,CO,52,170,2021
Weld,CO,51,140,2021
Yuma,CO,54.1,233,2021
Fairfield,CT,53.4,212,2021
Hartford,CT,52.7,192,2021
Litchfield,CT,50.4,124,2021
Middlesex,CT,53.2,206,2021
New Haven,CT,52.6,190,2021
New London,CT,53.9,226,2021
Tolland,CT,51.9,166,2021
Windham,CT,52.4,183,2021
Kent,DE,55.5,274,2021
New Castle,DE,54.9,258,2021
Sussex,DE,57.1,314,2021
Alachua,FL,69,494,2021
Baker,FL,67.8,486,2021
Bay,FL,67,478,2021
Bradford,FL,68.6,492,2021
Brevard,FL,74.4,507,2021
Broward,FL,77.5,511,2021
Calhoun,FL,65.8,462,2021
Charlotte,FL,75,508,2021
Citrus,FL,72.1,503,2021
Clay,FL,69.5,495,2021
Collier,FL,77.3,511,2021
Columbia,FL,67.9,487,2021
DeSoto,FL,74,505,2021
Dixie,FL,68.5,491,2021
Duval,FL,69.2,494,2021
Escambia,FL,66.7,475,2021
Flagler,FL,71.6,501,2021
Franklin,FL,67.2,481,2021
Gadsden,FL,65.9,464,2021
Gilchrist,FL,68.4,491,2021
Glades,FL,74.4,507,2021
Gulf,FL,66.6,474,2021
Hamilton,FL,67.1,479,2021
Hardee,FL,74.3,506,2021
Hendry,FL,75.6,509,2021
Hernando,FL,73.1,504,2021
Highlands,FL,74.1,506,2021
Hillsborough,FL,74.4,507,2021
Holmes,FL,64.7,450,2021
Indian River,FL,74.6,507,2021
Jackson,FL,65.4,458,2021
Jefferson,FL,66.8,475,2021
Lafayette,FL,67.9,487,2021
Lake,FL,72.5,504,2021
Lee,FL,76.2,510,2021
Leon,FL,66.4,471,2021
Levy,FL,69.9,496,2021
Liberty,FL,66,466,2021
Madison,FL,67,478,2021
Manatee,FL,74.1,506,2021
Marion,FL,70.8,498,2021
Martin,FL,75.7,510,2021
Miami-Dade,FL,78.4,511,2021
Monroe,FL,78.8,511,2021
Nassau,FL,68,488,2021
Okaloosa,FL,66.3,470,2021
Okeechobee,FL,74.4,507,2021
Orange,FL,73.9,505,2021
Osceola,FL,74.6,507,2021
Palm Beach,FL,76.6,511,2021
Pasco,FL,73.5,505,2021
Pinellas,FL,74.7,508,2021
Polk,FL,74.8,508,2021
Putnam,FL,70.6,498,2021
St. Johns,FL,71.1,499,2021
St. Lucie,FL,75.1,509,2021
Santa Rosa,FL,66.4,471,2021
Sarasota,FL,74.3,506,2021
Seminole,FL,73.4,504,2021
Sumter,FL,72.4,503,2021
Suwannee,FL,67.8,486,2021
Taylor,FL,68.1,489,2021
Union,FL,68.3,490,2021
Volusia,FL,72.3,503,2021
Wakulla,FL,67,478,2021
Walton,FL,66,466,2021
Washington,FL,65.8,462,2021
Appling,GA,65,454,2021
Atkinson,GA,64.2,442,2021
Bacon,GA,65.1,455,2021
Baker,GA,64.4,445,2021
Baldwin,GA,61.8,403,2021
Banks,GA,59.1,355,2021
Barrow,GA,59.6,364,2021
Bartow,GA,58.4,343,2021
Ben Hill,GA,63.1,427,2021
Berrien,GA,63.5,433,2021
Bibb,GA,62.1,409,2021
Bleckley,GA,62.7,421,2021
Brantley,GA,65.9,464,2021
Brooks,GA,64.9,452,2021
Bryan,GA,65.6,460,2021
Bulloch,GA,64.2,442,2021
Burke,GA,62.4,415,2021
Butts,GA,61.2,393,2021
Calhoun,GA,64,438,2021
Camden,GA,67.4,483,2021
Candler,GA,64.1,440,2021
Carroll,GA,58.6,348,2021
Catoosa,GA,57.2,317,2021
Charlton,GA,67,478,2021
Chatham,GA,66.1,466,2021
Chattahoochee,GA,62,407,2021
Chattooga,GA,57.8,330,2021
Cherokee,GA,58.2,338,2021
Clarke,GA,60,372,2021
Clay,GA,64,438,2021
Clayton,GA,60.9,386,2021
Clinch,GA,65.9,464,2021
Cobb,GA,59.1,355,2021
Coffee,GA,63.9,437,2021
Colquitt,GA,63.5,433,2021
Columbia,GA,61.9,405,2021
Cook,GA,63.5,433,2021
Coweta,GA,60.1,373,2021
Crawford,GA,61.8,403,2021
Crisp,GA,62.5,416,2021
Dade,GA,56.5,299,2021
Dawson,GA,57.2,317,2021
Decatur,GA,65.5,459,2021
DeKalb,GA,60.1,373,2021
Dodge,GA,63,425,2021
Dooly,GA,62.5,416,2021
Dougherty,GA,63.8,436,2021
Douglas,GA,59.2,358,2021
Early,GA,64.6,448,2021
Echols,GA,66.3,470,2021
Effingham,GA,64.5,446,2021
Elbert,GA,60.1,373,2021
Emanuel,GA,63.4,432,2021
Evans,GA,64.9,452,2021
Fannin,GA,54.4,242,2021
Fayette,GA,60.8,385,2021
Floyd,GA,58.2,338,2021
Forsyth,GA,58.2,338,2021
Franklin,GA,59.2,358,2021
Fulton,GA,59.7,366,2021
Gilmer,GA,55.7,278,2021
Glascock,GA,61.5,398,2021
Glynn,GA,67,478,2021
Gordon,GA,58.2,338,2021
Grady,GA,65.3,457,2021
Greene,GA,60.7,383,2021
Gwinnett,GA,59.3,360,2021
Habersham,GA,56.8,307,2021
Hall,GA,58.4,343,2021
Hancock,GA,61.3,394,2021
Haralson,GA,57.7,328,2021
Harris,GA,60.7,383,2021
Hart,GA,59.6,364,2021
Heard,GA,59.6,364,2021
Henry,GA,61,389,2021
Houston,GA,62.5,416,2021
Irwin,GA,63,425,2021
Jackson,GA,59.6,364,2021
Jasper,GA,61,389,2021
Jeff Davis,GA,64.1,440,2021
Jefferson,GA,62.1,409,2021
Jenkins,GA,63,425,2021
Johnson,GA,62.8,423,2021
Jones,GA,61.6,400,2021
Lamar,GA,61.1,391,2021
Lanier,GA,64.4,445,2021
Laurens,GA,63.1,427,2021
Lee,GA,63.2,429,2021
Liberty,GA,66,466,2021
Lincoln,GA,61.1,391,2021
Long,GA,65.8,462,2021
Lowndes,GA,65.1,455,2021
Lumpkin,GA,56.2,291,2021
McDuffie,GA,61.2,393,2021
McIntosh,GA,66.8,475,2021
Macon,GA,62.2,411,2021
Madison,GA,59.7,366,2021
Marion,GA,61.6,400,2021
Meriwether,GA,60.4,377,2021
Miller,GA,64.9,452,2021
Mitchell,GA,64.2,442,2021
Monroe,GA,61.4,397,2021
Montgomery,GA,64,438,2021
Morgan,GA,60.6,381,2021
Murray,GA,57.3,319,2021
Muscogee,GA,61.9,405,2021
Newton,GA,60.7,383,2021
Oconee,GA,60.3,376,2021
Oglethorpe,GA,60.2,375,2021
Paulding,GA,58.5,345,2021
Peach,GA,62.2,411,2021
Pickens,GA,57.3,319,2021
Pierce,GA,65.7,461,2021
Pike,GA,61,389,2021
Polk,GA,58.1,335,2021
Pulaski,GA,62.8,423,2021
Putnam,GA,61.1,391,2021
Quitman,GA,63.3,431,2021
Rabun,GA,53.6,218,2021
Randolph,GA,63.2,429,2021
Richmond,GA,62.3,413,2021
Rockdale,GA,60.6,381,2021
Schley,GA,62,407,2021
Screven,GA,63.1,427,2021
Seminole,GA,65.4,458,2021
Spalding,GA,61.2,393,2021
Stephens,GA,58.5,345,2021
Stewart,GA,62.3,413,2021
Sumter,GA,62.6,419,2021
Talbot,GA,61.1,391,2021
Taliaferro,GA,60.7,383,2021
Tattnall,GA,65,454,2021
Taylor,GA,61.7,401,2021
Telfair,GA,63.5,433,2021
Terrell,GA,63.1,427,2021
Thomas,GA,65,454,2021
Tift,GA,62.6,419,2021
Toombs,GA,64.5,446,2021
Towns,GA,53.2,206,2021
Treutlen,GA,63.6,434,2021
Troup,GA,60,372,2021
Turner,GA,62.5,416,2021
Twiggs,GA,62.5,416,2021
Union,GA,53.9,226,2021
Upson,GA,61.3,394,2021
Walker,GA,57,312,2021
Walton,GA,60.1,373,2021
Ware,GA,66,466,2021
Warren,GA,61,389,2021
Washington,GA,62.2,411,2021
Wayne,GA,65.7,461,2021
Webster,GA,62.2,411,2021
Wheeler,GA,63.7,435,2021
White,GA,56,287,2021
Whitfield,GA,57.5,323,2021
Wilcox,GA,62.8,423,2021
Wilkes,GA,60.7,383,2021
Wilkinson,GA,62.5,416,2021
Worth,GA,62.9,424,2021
Ada,ID,54.8,255,2021
Adams,ID,49,88,2021
Bannock,ID,48.9,84,2021
Bear Lake,ID,44.1,12,2021
Benewah,ID,52.1,174,2021
Bingham,ID,48.1,61,2021
Blaine,ID,47,41,2021
Boise,ID,48.5,73,2021
Bonner,ID,49.4,95,2021
Bonneville,ID,45.8,25,2021
Boundary,ID,47.3,45,2021
Butte,ID,45.8,25,2021
Camas,ID,47.7,54,2021
Canyon,ID,55.2,267,2021
Caribou,ID,45.4,20,2021
Cassia,ID,49.8,105,2021
Clark,ID,44.4,14,2021
Clearwater,ID,49.8,105,2021
Custer,ID,42.6,8,2021
Elmore,ID,51.9,166,2021
Franklin,ID,48.2,64,2021
Fremont,ID,43.7,10,2021
Gem,ID,53.3,210,2021
Gooding,ID,53.7,221,2021
Idaho,ID,46,28,2021
Jefferson,ID,47.8,55,2021
Jerome,ID,51.7,160,2021
Kootenai,ID,52.6,190,2021
Latah,ID,52.7,192,2021
Lemhi,ID,44.2,12,2021
Lewis,ID,51.4,151,2021
Lincoln,ID,50,111,2021
Madison,ID,46.5,34,2021
Minidoka,ID,49.5,98,2021
Nez Perce,ID,54.6,248,2021
Oneida,ID,50.1,113,2021
Owyhee,ID,51.5,154,2021
Payette,ID,54.9,258,2021
Power,ID,48.9,84,2021
Shoshone,ID,49.4,95,2021
Teton,ID,42.8,9,2021
Twin Falls,ID,51.1,142,2021
Valley,ID,44.1,12,2021
Washington,ID,54,230,2021
Adams,IL,53.5,215,2021
Alexander,IL,57.6,326,2021
Bond,IL,54.7,251,2021
Boone,IL,50.3,120,2021
Brown,IL,52.9,198,2021
Bureau,IL,51.4,151,2021
Calhoun,IL,54.9,258,2021
Carroll,IL,50,111,2021
Cass,IL,52.4,183,2021
Champaign,IL,52.9,198,2021
Christian,IL,53.5,215,2021
Clark,IL,54.7,251,2021
Clay,IL,55.3,269,2021
Clinton,IL,55.5,274,2021
Coles,IL,54.2,235,2021
Cook,IL,52.5,188,2021
Crawford,IL,55.6,277,2021
Cumberland,IL,54.7,251,2021
DeKalb,IL,50.6,130,2021
De Witt,IL,52.9,198,2021
Douglas,IL,53.5,215,2021
DuPage,IL,52,170,2021
Edgar,IL,53.5,215,2021
Edwards,IL,56.6,302,2021
Effingham,IL,54.6,248,2021
Fayette,IL,54.5,244,2021
Ford,IL,52.9,198,2021
Franklin,IL,55.4,271,2021
Fulton,IL,52.9,198,2021
Gallatin,IL,56.8,307,2021
Greene,IL,53.7,221,2021
Grundy,IL,52.3,180,2021
Hamilton,IL,56.1,290,2021
Hancock,IL,52.5,188,2021
Hardin,IL,57.1,314,2021
Henderson,IL,52.2,178,2021
Henry,IL,51.5,154,2021
Iroquois,IL,52.7,192,2021
Jackson,IL,55.3,269,2021
Jasper,IL,55.2,267,2021
Jefferson,IL,55.5,274,2021
Jersey,IL,54.8,255,2021
Jo Daviess,IL,49.6,100,2021
Johnson,IL,56.8,307,2021
Kane,IL,51.1,142,2021
Kankakee,IL,52.4,183,2021
Kendall,IL,51.8,163,2021
Knox,IL,51.8,163,2021
Lake,IL,51.2,146,2021
LaSalle,IL,51.5,154,2021
Lawrence,IL,56.5,299,2021
Lee,IL,50.8,135,2021
Livingston,IL,52.9,198,2021
Logan,IL,53,201,2021
McDonough,IL,52.1,174,2021
McHenry,IL,50.4,124,2021
McLean,IL,52.8,195,2021
Macon,IL,53.4,212,2021
Macoupin,IL,53.6,218,2021
Madison,IL,55.2,267,2021
Marion,IL,55.1,263,2021
Marshall,IL,52.5,188,2021
Mason,IL,53,201,2021
Massac,IL,58,334,2021
Menard,IL,52.4,183,2021
Mercer,IL,52,170,2021
Monroe,IL,56.4,297,2021
Montgomery,IL,53.7,221,2021
Morgan,IL,52.5,188,2021
Moultrie,IL,53.6,218,2021
Ogle,IL,50.4,124,2021
Peoria,IL,53.1,204,2021
Perry,IL,55.2,267,2021
Piatt,IL,53.1,204,2021
Pike,IL,53.8,224,2021
Pope,IL,57.2,317,2021
Pulaski,IL,57.6,326,2021
Putnam,IL,52.1,174,2021
Randolph,IL,55.4,271,2021
Richland,IL,55.8,282,2021
Rock Island,IL,52,170,2021
St. Clair,IL,55.9,284,2021
Saline,IL,56.4,297,2021
Sangamon,IL,52.7,192,2021
Schuyler,IL,52.5,188,2021
Scott,IL,52.9,198,2021
Shelby,IL,53.9,226,2021
Stark,IL,51.7,160,2021
Stephenson,IL,49.7,102,2021
Tazewell,IL,53.4,212,2021
Union,IL,56.3,294,2021
Vermilion,IL,52.7,192,2021
Wabash,IL,56.8,307,2021
Warren,IL,51.7,160,2021
Washington,IL,55.5,274,2021
Wayne,IL,56,287,2021
White,IL,56.6,302,2021
Whiteside,IL,51,140,2021
Will,IL,52.2,178,2021
Williamson,IL,55.6,277,2021
Winnebago,IL,50.4,124,2021
Woodford,IL,52.8,195,2021
Adams,IN,53,201,2021
Allen,IN,52.5,188,2021
Bartholomew,IN,54.3,238,2021
Benton,IN,52.3,180,2021
Blackford,IN,52.6,190,2021
Boone,IN,52.2,178,2021
Brown,IN,53.2,206,2021
Carroll,IN,51.3,149,2021
Cass,IN,51.1,142,2021
Clark,IN,55.1,263,2021
Clay,IN,53.2,206,2021
Clinton,IN,51.7,160,2021
Crawford,IN,53.7,221,2021
Daviess,IN,54.8,255,2021
Dearborn,IN,53.6,218,2021
Decatur,IN,53.5,215,2021
DeKalb,IN,51.7,160,2021
Delaware,IN,53.1,204,2021
Dubois,IN,54.3,238,2021
Elkhart,IN,51.9,166,2021
Fayette,IN,52.1,174,2021
Floyd,IN,55.3,269,2021
Fountain,IN,52.6,190,2021
Franklin,IN,52.4,183,2021
Fulton,IN,51.2,146,2021
Gibson,IN,56.7,304,2021
Grant,IN,52.8,195,2021
Greene,IN,53.3,210,2021
Hamilton,IN,52.2,178,2021
Hancock,IN,53,201,2021
Harrison,IN,54.9,258,2021
Hendricks,IN,52.5,188,2021
Henry,IN,52.1,174,2021
Howard,IN,51.7,160,2021
Huntington,IN,52.5,188,2021
Jackson,IN,54,230,2021
Jasper,IN,52.2,178,2021
Jay,IN,52.5,188,2021
Jefferson,IN,54.4,242,2021
Jennings,IN,54.1,233,2021
Johnson,IN,53.7,221,2021
Knox,IN,55.9,284,2021
Kosciusko,IN,51.8,163,2021
LaGrange,IN,51.6,156,2021
Lake,IN,52.2,178,2021
LaPorte,IN,51.8,163,2021
Lawrence,IN,53.2,206,2021
Madison,IN,52.8,195,2021
Marion,IN,53.1,204,2021
Marshall,IN,51.5,154,2021
Martin,IN,53.8,224,2021
Miami,IN,51.7,160,2021
Monroe,IN,52.5,188,2021
Montgomery,IN,52.8,195,2021
Morgan,IN,52.7,192,2021
Newton,IN,52.4,183,2021
Noble,IN,51.9,166,2021
Ohio,IN,54.4,242,2021
Orange,IN,53.5,215,2021
Owen,IN,52.2,178,2021
Parke,IN,52.4,183,2021
Perry,IN,54,230,2021
Pike,IN,55.7,278,2021
Porter,IN,52,170,2021
Posey,IN,57,312,2021
Pulaski,IN,51.5,154,2021
Putnam,IN,52.2,178,2021
Randolph,IN,52,170,2021
Ripley,IN,53.3,210,2021
Rush,IN,53,201,2021
St. Joseph,IN,51.8,163,2021
Scott,IN,54.5,244,2021
Shelby,IN,54.2,235,2021
Spencer,IN,55.3,269,2021
Starke,IN,51.7,160,2021
Steuben,IN,50.8,135,2021
Sullivan,IN,54.9,258,2021
Switzerland,IN,54.6,248,2021
Tippecanoe,IN,52.4,183,2021
Tipton,IN,52,170,2021
Union,IN,51.9,166,2021
Vanderburgh,IN,57.1,314,2021
Vermillion,IN,52.8,195,2021
Vigo,IN,54.1,233,2021
Wabash,IN,52.3,180,2021
Warren,IN,52.4,183,2021
Warrick,IN,56.1,290,2021
Washington,IN,53.9,226,2021
Wayne,IN,51.6,156,2021
Wells,IN,52.6,190,2021
White,IN,51.8,163,2021
Whitley,IN,52.1,174,2021
Adair,IA,51.1,142,2021
Adams,IA,52.5,188,2021
Allamakee,IA,48.5,73,2021
Appanoose,IA,51.1,142,2021
Audubon,IA,49.9,107,2021
Benton,IA,49.4,95,2021
Black Hawk,IA,49.9,107,2021
Boone,IA,50.9,137,2021
Bremer,IA,49,88,2021
Buchanan,IA,48.8,80,2021
Buena Vista,IA,49.8,105,2021
Butler,IA,49.5,98,2021
Calhoun,IA,50.6,130,2021
Carroll,IA,50.9,137,2021
Cass,IA,51.3,149,2021
Cedar,IA,50.2,117,2021
Cerro Gordo,IA,48.8,80,2021
Cherokee,IA,49.8,105,2021
Chickasaw,IA,47.8,55,2021
Clarke,IA,52.4,183,2021
Clay,IA,49.5,98,2021
Clayton,IA,48.3,66,2021
Clinton,IA,51.1,142,2021
Crawford,IA,50.9,137,2021
Dallas,IA,51.6,156,2021
Davis,IA,51.3,149,2021
Decatur,IA,53.2,206,2021
Delaware,IA,48.6,75,2021
Des Moines,IA,52.1,174,2021
Dickinson,IA,49.1,90,2021
Dubuque,IA,49.5,98,2021
Emmet,IA,48.7,78,2021
Fayette,IA,47.9,56,2021
Floyd,IA,48.5,73,2021
Franklin,IA,49.3,94,2021
Fremont,IA,53.8,224,2021
Greene,IA,50.8,135,2021
Grundy,IA,49.8,105,2021
Guthrie,IA,50.4,124,2021
Hamilton,IA,49.5,98,2021
Hancock,IA,48.8,80,2021
Hardin,IA,49.8,105,2021
Harrison,IA,52,170,2021
Henry,IA,51.7,160,2021
Howard,IA,46.9,39,2021
Humboldt,IA,49.2,92,2021
Ida,IA,50.5,127,2021
Iowa,IA,49.5,98,2021
Jackson,IA,50.3,120,2021
Jasper,IA,51.2,146,2021
Jefferson,IA,51,140,2021
Johnson,IA,50.2,117,2021
Jones,IA,50.2,117,2021
Keokuk,IA,50.1,113,2021
Kossuth,IA,49.2,92,2021
Lee,IA,52.3,180,2021
Linn,IA,49.8,105,2021
Louisa,IA,52,170,2021
Lucas,IA,51.5,154,2021
Lyon,IA,49.5,98,2021
Madison,IA,51.9,166,2021
Mahaska,IA,50.8,135,2021
Marion,IA,51.2,146,2021
Marshall,IA,50.4,124,2021
Mills,IA,53.4,212,2021
Mitchell,IA,47.7,54,2021
Monona,IA,51.3,149,2021
Monroe,IA,51.3,149,2021
Montgomery,IA,52.8,195,2021
Muscatine,IA,51.3,149,2021
O'Brien,IA,49.8,105,2021
Osceola,IA,49,88,2021
Page,IA,53.2,206,2021
Palo Alto,IA,49.1,90,2021
